Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,# Words Found,Found Words,All Words
1,Ses02M_impro01_M000 [003.5000-006.4410]: All right.,7.32,5.0,7.16,positive,1 out of 1,['right'],['right']
2,Finally.,N/A,N/A,N/A,N/A,0,N/A,['finally']
3,Here you go.,6.32,4.86,5.33,positive,1 out of 1,['go'],['go']
4,"Ses02M_impro01_F000 [005.3200-007.3580]: Hi, How can I help you?",6.95,4.29,6.89,positive,1 out of 2,['help'],"['hi', 'help']"
5,Ses02M_impro01_M001 [007.3400-010.0000]: Yea.,N/A,N/A,N/A,N/A,0,N/A,['yea']
6,"I just want to get this done,
Ses02M_impro01_F001 [010.3710-011.6114]: Sure, um
Ses02M_impro01_M002 [010.0100-012.2924]: get my new license.",6.26,4.231428571428571,5.981428571428571,positive,7 out of 8,"['want', 'get', 'do', 'sure', 'get', 'new', 'license']","['want', 'get', 'do', 'sure', 'um', 'get', 'new', 'license']"
7,Ses02M_impro01_F002 [011.6114-014.6855]: do you have two forms of ID with you?,5.8133333333333335,3.3733333333333335,5.626666666666667,neutral,3 out of 3,"['two', 'form', 'id']","['two', 'form', 'id']"
8,"Ses02M_impro01_M003 [014.3252-017.6205]: Um, no, I got my driver's license though.",5.403333333333333,4.726666666666667,5.566666666666666,neutral,3 out of 5,"['neg-get', 'driver', 'license']","['um', 'get', 'driver', 'license', 'though']"
9,Ses02M_impro01_F003 [017.8190-024.7376]: I actually need two forms of ID.,5.7225,3.4475,5.484999999999999,neutral,4 out of 5,"['need', 'two', 'form', 'id']","['actually', 'need', 'two', 'form', 'id']"
10,"I need either a passport or a birth certificate, or social security card.",5.994285714285715,4.2,5.297142857142857,neutral,7 out of 8,"['need', 'passport', 'birth', 'certificate', 'social', 'security', 'card']","['need', 'either', 'passport', 'birth', 'certificate', 'social', 'security', 'card']"
11,I'm sorry.,4.81,4.62,5.65,neutral,1 out of 1,['sorry'],['sorry']
12,"Ses02M_impro01_M004 [024.5138-028.1500]: Uh, sorry, I forgot them.",4.27,4.525,4.575,neutral,2 out of 3,"['sorry', 'forget']","['uh', 'sorry', 'forget']"
13,"I mean I've got to -
Ses02M_impro01_F004 [027.9800-029.6220]: Well
Ses02M_impro01_M005 [028.2300-031.2973]: well is the dri-driver's license going to work?",5.16,4.474,5.612,neutral,5 out of 7,"['mean', 'get', 'license', 'go', 'work']","['mean', 'get', 'well', 'well', 'license', 'go', 'work']"
14,Ses02M_impro01_F005 [030.0939-036.9427]: I- I can take your driver's license but I need another form of ID in order to process this paper work.,5.562,3.777,5.85,neutral,10 out of 11,"['take', 'driver', 'license', 'need', 'form', 'id', 'order', 'process', 'paper', 'work']","['take', 'driver', 'license', 'need', 'another', 'form', 'id', 'order', 'process', 'paper', 'work']"
15,"Ses02M_impro01_M006 [036.8679-039.1999]: Okay, so what are you saying?",5.91,4.43,6.88,neutral,1 out of 2,['say'],"['okay', 'say']"
16,"What-
Ses02M_impro01_F006 [038.8667-044.0823]: Um, that you would need to go home and get another form of ID and come back.",5.865555555555556,3.6377777777777776,5.748888888888889,neutral,9 out of 11,"['would', 'need', 'go', 'home', 'get', 'form', 'id', 'come', 'back']","['um', 'would', 'need', 'go', 'home', 'get', 'another', 'form', 'id', 'come', 'back']"
17,Ses02M_impro01_M007 [044.2341-052.4300]: What?,N/A,N/A,N/A,N/A,0,N/A,[]
18,"I- You telling me I waited in that huge line to go and sit down and get my number called, like after
Ses02M_impro01_F007 [053.1100-054.9300]: Well, I'm sorry sir but
Ses02M_impro01_M008 [052.4400-054.5300]: three hours and
Ses02M_impro01_F008 [054.9400-058.3100]: you need to bring two forms of ID there is nothing we can do about it.",5.637368421052631,3.771578947368421,5.537368421052632,neutral,19 out of 21,"['tell', 'wait', 'huge', 'line', 'go', 'sit', 'get', 'number', 'call', 'like', 'sorry', 'sir', 'three', 'hour', 'need', 'bring', 'two', 'form', 'id']","['tell', 'wait', 'huge', 'line', 'go', 'sit', 'get', 'number', 'call', 'like', 'well', 'sorry', 'sir', 'three', 'hour', 'need', 'bring', 'two', 'form', 'id', 'nothing']"
19,Ses02M_impro01_M009 [057.3791-064.1421]: Shouldn't they have like told us about that?,3.9149999999999996,4.7299999999999995,4.33,negative,2 out of 3,"['neg-like', 'tell']","['like', 'tell', 'us']"
20,I mean why - why would they make me go and wait three hours if I have got to go and do it again?,5.354444444444445,4.006666666666667,5.516666666666667,neutral,9 out of 9,"['mean', 'would', 'make', 'go', 'wait', 'three', 'hour', 'get', 'go']","['mean', 'would', 'make', 'go', 'wait', 'three', 'hour', 'get', 'go']"
