Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,# Words Found,Found Words,All Words
1,Ses02M_script02_2_M000 [003.8800-005.8600]: So what do you think?,6.68,3.75,6.5,positive,1 out of 1,['think'],['think']
2,Ses02M_script02_2_F000 [005.3800-007.1300]: About what?,N/A,N/A,N/A,N/A,0,N/A,[]
3,Ses02M_script02_2_M001 [006.8800-008.7300]: What I was saying.,5.91,4.43,6.88,neutral,1 out of 1,['say'],['say']
4,Ses02M_script02_2_F001 [008.4200-010.3700]: It's ridiculous.,3.67,5.65,3.78,negative,1 out of 1,['ridiculous'],['ridiculous']
5,Ses02M_script02_2_M002 [010.1200-014.9000]: Certainly it's not.,N/A,N/A,N/A,N/A,0,N/A,['certainly']
6,Slightly exaggerated scientific fact.,6.09,3.755,6.0600000000000005,positive,2 out of 4,"['scientific', 'fact']","['slightly', 'exaggerated', 'scientific', 'fact']"
7,Ses02M_script02_2_F002 [013.9900-020.9200]: It's PR.,N/A,N/A,N/A,N/A,0,N/A,['pr']
8,Someone sold you a bill of goods that this wonderful event is going to take place on the beach.,6.017777777777778,4.391111111111111,5.652222222222222,positive,9 out of 10,"['sell', 'bill', 'good', 'wonderful', 'event', 'go', 'take', 'place', 'beach']","['someone', 'sell', 'bill', 'good', 'wonderful', 'event', 'go', 'take', 'place', 'beach']"
9,"Ses02M_script02_2_M003 [020.3400-023.4600]: Well, I'm not the only one look at all these people.",5.1866666666666665,4.953333333333333,5.24,neutral,3 out of 4,"['neg-one', 'look', 'people']","['well', 'one', 'look', 'people']"
10,"Ses02M_script02_2_F003 [022.7300-034.9900]: Yea, sure everyone was sold the same story.",6.413333333333333,3.73,6.01,positive,3 out of 5,"['sure', 'sell', 'story']","['yea', 'sure', 'everyone', 'sell', 'story']"
11,"I mean it keeps us all excited, keeps us coming back for more, keeps us thinking that life is going to start any second now if we can just get in on the action and find the right spot.",5.992941176470588,4.2170588235294115,5.698235294117647,neutral,17 out of 20,"['mean', 'keep', 'excite', 'keep', 'come', 'back', 'keep', 'think', 'life', 'go', 'start', 'second', 'get', 'action', 'find', 'right', 'spot']","['mean', 'keep', 'us', 'excite', 'keep', 'us', 'come', 'back', 'keep', 'us', 'think', 'life', 'go', 'start', 'second', 'get', 'action', 'find', 'right', 'spot']"
12,Ses02M_script02_2_M004 [035.3200-037.3700]: Are we talking about the same thing?,6.095,3.4050000000000002,5.925000000000001,positive,2 out of 2,"['talk', 'thing']","['talk', 'thing']"
13,Ses02M_script02_2_F004 [036.6700-039.6200]: I'm sorry but it's still just fish to me.,5.615,3.975,5.865,neutral,2 out of 3,"['sorry', 'fish']","['sorry', 'still', 'fish']"
14,"Ses02M_script02_2_M005 [039.4900-046.9800]: Carla, can I ask you something?",5.95,3.48,6.29,neutral,1 out of 3,['ask'],"['carla', 'ask', 'something']"
15,Don't take this wrong but are you having your period?,5.09,4.796666666666667,5.926666666666667,neutral,3 out of 3,"['neg-take', 'neg-wrong', 'period']","['take', 'wrong', 'period']"
16,Ses02M_script02_2_F005 [046.5600-054.3700]: Goddamn it Augie don't ask me that.,3.9299999999999997,6.164999999999999,4.15,negative,2 out of 3,"['goddamn', 'neg-ask']","['goddamn', 'augie', 'ask']"
17,I hate it when you ask me that.,3.955,4.87,5.38,negative,2 out of 2,"['hate', 'ask']","['hate', 'ask']"
18,You always ask me that.,5.95,3.48,6.29,neutral,1 out of 2,['ask'],"['always', 'ask']"
19,It's insulting.,1.89,4.7,4.48,negative,1 out of 1,['insulting'],['insulting']
20,"Ses02M_script02_2_M006 [053.3600-055.2400]: Well, what's bugging you?",3.45,6.06,4.08,negative,1 out of 2,['bug'],"['well', 'bug']"
21,Ses02M_script02_2_F006 [054.8300-059.2000]: We just have different ideas of what this evening is supposed to look like.,6.451666666666666,3.8666666666666667,5.845,positive,6 out of 6,"['different', 'idea', 'evening', 'suppose', 'look', 'like']","['different', 'idea', 'evening', 'suppose', 'look', 'like']"
22,"Ses02M_script02_2_M007 [058.7900-068.1500]: There is nothing to it, we come here, the Grunion arrive, then do their little fish business, we go oh ah look, they go home, we go home.",6.339090909090909,4.155454545454545,5.890909090909091,positive,11 out of 15,"['come', 'arrive', 'little', 'fish', 'business', 'go', 'look', 'go', 'home', 'go', 'home']","['nothing', 'come', 'grunion', 'arrive', 'little', 'fish', 'business', 'go', 'oh', 'ah', 'look', 'go', 'home', 'go', 'home']"
