Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,# Words Found,Found Words,All Words
1,"Ses05F_script02_2_M000 [006.2100-010.0200]: Well, so?",N/A,N/A,N/A,N/A,0,N/A,['well']
2,What do you think?,6.68,3.75,6.5,positive,1 out of 1,['think'],['think']
3,Ses05F_script02_2_F000 [009.5800-011.9629]: About what?,N/A,N/A,N/A,N/A,0,N/A,[]
4,Ses05F_script02_2_M001 [011.2611-014.0100]: What I was just saying.,5.91,4.43,6.88,neutral,1 out of 1,['say'],['say']
5,Ses05F_script02_2_F001 [013.4666-015.6200]: It's ridiculous.,3.67,5.65,3.78,negative,1 out of 1,['ridiculous'],['ridiculous']
6,Ses05F_script02_2_M002 [015.0400-021.0520]: It certainly is not.,N/A,N/A,N/A,N/A,0,N/A,['certainly']
7,It's slightly exaggerated scientific fact.,6.09,3.755,6.0600000000000005,positive,2 out of 4,"['scientific', 'fact']","['slightly', 'exaggerated', 'scientific', 'fact']"
8,"Ses05F_script02_2_F002 [019.8700-025.7100]: It's PR, somebody sold you a bill of goods that this wonderful event is going to occur on the beach.",6.2175,4.38125,5.49625,positive,8 out of 10,"['sell', 'bill', 'good', 'wonderful', 'event', 'go', 'occur', 'beach']","['pr', 'somebody', 'sell', 'bill', 'good', 'wonderful', 'event', 'go', 'occur', 'beach']"
9,"Ses05F_script02_2_M003 [025.2700-027.5000]: I am not the only one, look at all these people.",5.1866666666666665,4.953333333333333,5.24,neutral,3 out of 3,"['neg-one', 'look', 'people']","['one', 'look', 'people']"
10,"Ses05F_script02_2_F003 [026.9700-038.3700]: Yeah, they are all told the same thing.",5.41,3.645,5.175000000000001,neutral,2 out of 3,"['tell', 'thing']","['yeah', 'tell', 'thing']"
11,They are all told that you know.,6.045,3.55,5.36,positive,2 out of 2,"['tell', 'know']","['tell', 'know']"
