Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,# Words Found,Found Words,All Words
1,Ses03M_impro08a_M000 [006.5663-011.4367]: Hello.,N/A,N/A,N/A,N/A,0,N/A,['hello']
2,This is Viacom Services.,6.83,2.95,5.33,positive,1 out of 2,['service'],"['viacom', 'service']"
3,How can I help you?,6.95,4.29,6.89,positive,1 out of 1,['help'],['help']
4,Ses03M_impro08a_F000 [010.7663-018.3382]: Hello?,N/A,N/A,N/A,N/A,0,N/A,['hello']
5,"God finally somebody, look, this is ridiculous.",5.173333333333334,4.99,4.886666666666667,neutral,3 out of 5,"['god', 'look', 'ridiculous']","['god', 'finally', 'somebody', 'look', 'ridiculous']"
6,I've been waiting online for like a half an hour now.,5.68,3.8000000000000003,5.946666666666666,neutral,3 out of 5,"['wait', 'like', 'hour']","['wait', 'online', 'like', 'half', 'hour']"
7,"Ses03M_impro08a_M001 [017.6481-020.8228]: I'm sorry ma'am, what can I help you with?",5.88,4.455,6.27,neutral,2 out of 2,"['sorry', 'help']","['sorry', 'help']"
8,"Ses03M_impro08a_F001 [019.8763-026.9925]: Look my, my phone isn't working.",5.663333333333333,4.286666666666667,4.733333333333333,neutral,3 out of 3,"['look', 'phone', 'neg-work']","['look', 'phone', 'work']"
9,I don't understand what's going on.,4.82,5.67,4.3100000000000005,neutral,2 out of 2,"['neg-understand', 'go']","['understand', 'go']"
10,I am trying to call out.,5.91,3.645,5.775,neutral,2 out of 2,"['try', 'call']","['try', 'call']"
11,"I'm not receiving any calls
Ses03M_impro08a_F002 [027.0735-031.6225]: and I need assistance with my...not only is my work phone, it's my home phone and look,
Ses03M_impro08a_F003 [031.7275-036.8342]: this is my business.",5.409,4.234,5.211,neutral,10 out of 10,"['neg-receive', 'neg-call', 'need', 'assistance', 'work', 'phone', 'home', 'phone', 'look', 'business']","['receive', 'call', 'need', 'assistance', 'work', 'phone', 'home', 'phone', 'look', 'business']"
12,This is how I make money is through my phone.,6.426666666666667,4.653333333333333,5.66,positive,3 out of 3,"['make', 'money', 'phone']","['make', 'money', 'phone']"
13,It needs to be working.,5.25,4.0,5.59,neutral,2 out of 2,"['need', 'work']","['need', 'work']"
14,Can you please help me?,6.95,4.29,6.89,positive,1 out of 2,['help'],"['please', 'help']"
15,Ses03M_impro08a_M002 [034.1722-042.0202]: Okay.,N/A,N/A,N/A,N/A,0,N/A,['okay']
16,Can you give me the last four digits of your social security number so I can verify who I'm speaking with?,5.90625,4.0325,5.685,neutral,8 out of 9,"['give', 'four', 'digit', 'social', 'security', 'number', 'verify', 'speak']","['give', 'last', 'four', 'digit', 'social', 'security', 'number', 'verify', 'speak']"
17,Ses03M_impro08a_F004 [041.3695-044.4061]: two two six six.,5.574999999999999,3.255,5.3149999999999995,neutral,4 out of 4,"['two', 'two', 'six', 'six']","['two', 'two', 'six', 'six']"
18,Ses03M_impro08a_M003 [043.4794-046.8315]: Okay.,N/A,N/A,N/A,N/A,0,N/A,['okay']
19,And your name is?,5.62,3.04,5.14,neutral,1 out of 1,['name'],['name']
20,Ses03M_impro08a_F005 [045.9836-048.5076]: Olivia.,N/A,N/A,N/A,N/A,0,N/A,['olivia']
21,Ses03M_impro08a_M004 [047.7977-053.2597]: Olivia.,N/A,N/A,N/A,N/A,0,N/A,['olivia']
22,Um.,N/A,N/A,N/A,N/A,0,N/A,['um']
23,Okay.,N/A,N/A,N/A,N/A,0,N/A,['okay']
24,So how long has this problem been?,3.52,4.81,4.94,negative,1 out of 2,['problem'],"['long', 'problem']"
25,Ses03M_impro08a_F006 [052.5302-061.8176]: This has been going on for the past two weeks.,5.745,4.0575,5.21,neutral,4 out of 4,"['go', 'past', 'two', 'week']","['go', 'past', 'two', 'week']"
26,I called every single day.,5.976666666666667,3.586666666666667,5.343333333333334,neutral,3 out of 4,"['call', 'single', 'day']","['call', 'every', 'single', 'day']"
27,Nobody is helping me.,6.95,4.29,6.89,positive,1 out of 2,['help'],"['nobody', 'help']"
