Sentence ID,Sentence,Valence,Arousal,Dominance,Sentiment Label,# Words Found,Found Words,All Words
1,"Ses03F_impro08_M000 [004.9200-009.7700]: Hey, you stupid dumb shit machine, give me a fucking operator, huh?",4.551428571428572,4.828571428571428,4.744285714285715,neutral,7 out of 9,"['stupid', 'dumb', 'shit', 'machine', 'give', 'fucking', 'operator']","['hey', 'stupid', 'dumb', 'shit', 'machine', 'give', 'fucking', 'operator', 'huh']"
2,"Ses03F_impro08_F000 [009.4200-011.3200]: Hello sir, can I help you?",6.2,4.3100000000000005,6.0,positive,2 out of 3,"['sir', 'help']","['hello', 'sir', 'help']"
3,"Ses03F_impro08_M001 [010.7500-014.7300]: Yeah, I've been on the-with the machine for like thirty minutes--
Ses03F_impro08_M002 [014.7300-019.2700]: trying to get an answer, and no one's given me an answer.",5.279,4.455,5.316,neutral,10 out of 11,"['machine', 'like', 'thirty', 'minute', 'try', 'get', 'answer', 'neg-one', 'neg-give', 'answer']","['yeah', 'machine', 'like', 'thirty', 'minute', 'try', 'get', 'answer', 'one', 'give', 'answer']"
4,So what are you going to do about it?,6.32,4.86,5.33,positive,1 out of 1,['go'],['go']
5,"Ses03F_impro08_F001 [014.4900-015.6800]: I [GARBAGE]
Ses03F_impro08_F002 [018.8800-024.7100]: Yes, sir, I'm very sorry, but we've had some trouble here.",4.0024999999999995,4.595,5.065,neutral,4 out of 5,"['garbage', 'sir', 'sorry', 'trouble']","['garbage', 'yes', 'sir', 'sorry', 'trouble']"
6,"There's been a lot of calls and the system has-
Ses03F_impro08_M003 [023.2800-026.1100]: Fuck, do you think I have all day?",5.99,4.236,5.764,neutral,5 out of 6,"['call', 'system', 'fuck', 'think', 'day']","['lot', 'call', 'system', 'fuck', 'think', 'day']"
7,"Jesus
Ses03F_impro08_F003 [024.9300-029.7500]: Sir, please calm down.",6.17,3.0,6.275,positive,2 out of 4,"['sir', 'calm']","['jesus', 'sir', 'please', 'calm']"
8,There's no reason to use profanity like that.,4.855,5.6,5.1625,neutral,4 out of 4,"['neg-reason', 'neg-use', 'profanity', 'like']","['reason', 'use', 'profanity', 'like']"
9,"It's not-
Ses03F_impro08_M004 [029.4800-038.0200]: Fine, sorry.",5.654999999999999,4.24,5.715,neutral,2 out of 2,"['fine', 'sorry']","['fine', 'sorry']"
10,"Okay, my phone's been on the fritz for like three days.",6.33,3.7075,5.44,positive,4 out of 6,"['phone', 'like', 'three', 'day']","['okay', 'phone', 'fritz', 'like', 'three', 'day']"
11,I can't get any incoming calls.,4.823333333333333,5.156666666666666,5.05,neutral,3 out of 4,"['neg-get', 'neg-incoming', 'call']","['ca', 'get', 'incoming', 'call']"
12,What- What is going on?,6.32,4.86,5.33,positive,1 out of 1,['go'],['go']
13,"Ses03F_impro08_F004 [037.4400-041.0900]: Okay, and this is for Verizon?",N/A,N/A,N/A,N/A,0,N/A,"['okay', 'verizon']"
14,Your provider?,6.26,3.73,6.32,positive,1 out of 1,['provider'],['provider']
15,Ses03F_impro08_M005 [039.5000-040.7500]: Yeah.,N/A,N/A,N/A,N/A,0,N/A,['yeah']
16,"Ses03F_impro08_F005 [041.1475-047.8600]: Well, um- we have a little problem with the system going on.",5.3125,4.3125,5.275,neutral,4 out of 6,"['little', 'problem', 'system', 'go']","['well', 'um', 'little', 'problem', 'system', 'go']"
17,"One of our satellites is down, and I-
Ses03F_impro08_M006 [047.7900-052.7700]: You know what?",6.156666666666666,3.6933333333333334,5.29,positive,3 out of 3,"['one', 'satellite', 'know']","['one', 'satellite', 'know']"
18,I'm just going to- Patient?,6.515000000000001,3.8150000000000004,5.08,positive,2 out of 2,"['go', 'patient']","['go', 'patient']"
19,I'm a busy man.,5.415,4.4399999999999995,4.94,neutral,2 out of 2,"['busy', 'man']","['busy', 'man']"
20,"Ses03F_impro08_F006 [047.8700-050.6100]: You're going to have to just be patient with us, sir, as we
Ses03F_impro08_F007 [051.9400-054.6400]: Well, I know sir, and we all are busy.",6.026666666666667,4.008333333333334,5.1000000000000005,positive,6 out of 8,"['go', 'patient', 'sir', 'know', 'sir', 'busy']","['go', 'patient', 'us', 'sir', 'well', 'know', 'sir', 'busy']"
21,"Ses03F_impro08_F008 [054.6400-058.9025]: But I'm going to definitely have to- uh--get your contact information
Ses03F_impro08_M007 [056.8557-058.7900]: -have to, have to what?",6.2275,3.54,5.5375,positive,4 out of 6,"['go', 'get', 'contact', 'information']","['go', 'definitely', 'uh', 'get', 'contact', 'information']"
22,Ses03F_impro08_M008 [058.7900-063.8700]: What?,N/A,N/A,N/A,N/A,0,N/A,[]
23,It's my phone.,6.09,3.43,4.44,positive,1 out of 1,['phone'],['phone']
24,You can't even call me on it.,3.8200000000000003,6.71,4.39,negative,1 out of 3,['neg-call'],"['ca', 'even', 'call']"
25,I don't have another phone.,3.91,6.57,5.56,negative,1 out of 2,['neg-phone'],"['another', 'phone']"
26,"Ses03F_impro08_FXX0 [060.0055-061.8452]: Well, I don't-
Ses03F_impro08_F009 [062.6800-069.2200]: Okay, well, if you would like, um- we will be turning on the systems in probably about ten hours.",5.751666666666667,3.591666666666667,5.8,neutral,6 out of 11,"['would', 'like', 'turn', 'system', 'ten', 'hour']","['well', 'okay', 'well', 'would', 'like', 'um', 'turn', 'system', 'probably', 'ten', 'hour']"
27,Ses03F_impro08_M009 [068.6900-071.5800]: What?,N/A,N/A,N/A,N/A,0,N/A,[]
28,Are you kidding me?,7.23,4.71,4.83,positive,1 out of 1,['kid'],['kid']
29,"Ses03F_impro08_F010 [070.8100-081.6500]: Sir, I'm very sorry, but this is the way it is.",5.39,3.95,5.196666666666667,neutral,3 out of 3,"['sir', 'sorry', 'way']","['sir', 'sorry', 'way']"
30,This- We have no control over it.,5.57,5.24,4.53,neutral,1 out of 1,['neg-control'],['control']
31,It's going to take-  -but you have to be patient with us.,5.95,4.05,4.996666666666667,neutral,3 out of 4,"['go', 'take', 'patient']","['go', 'take', 'patient', 'us']"
32,You can use a calling card.,5.62,3.3833333333333333,5.223333333333334,neutral,3 out of 3,"['use', 'call', 'card']","['use', 'call', 'card']"
33,We will give you a free calling card to use.,6.568,4.0200000000000005,5.578,positive,5 out of 5,"['give', 'free', 'call', 'card', 'use']","['give', 'free', 'call', 'card', 'use']"
34,"Ses03F_impro08_M010 [073.7700-076.9000]: Oh, my God.",5.9,5.56,5.0,neutral,1 out of 2,['god'],"['oh', 'god']"
